,Participant ID,Age,Gender,Employment
0,P01,22,Male,Student
1,P02,30,Female,PhD
2,P03,25,Male,PhD
3,P04,26,Male,Student
4,P05,23,Male,Student
5,P06,26,Female,Student
6,P07,30,Male,Student
7,P08,24,Male,Student
8,P09,25,Male,Student
9,P10,19,Female,Student
10,P11,26,Male,Student
11,P12,31,Male,PhD
12,P13,33,Male,PhD
13,P14,22,Female,Student
14,P15,24,Female,Student
15,P16,25,Male,Student
16,P17,31,Male,Student
17,P18,22,Female,Student
18,P19,25,Female,PhD
19,P20,31,Male,Worker
20,P21,30,Female,PhD
21,P22,36,Male,Student
22,P23,35,Female,Student
23,P24,20,Male,Student
24,P25,29,Male,Worker
25,P26,23,Male,Worker
26,P27,63,Male,Worker
27,P28,57,Female,Worker
28,P29,29,Male,Worker
29,P30,34,Female,Worker
